Assessment Name,URL,Remote Testing Support,Adaptive/IRT Support,Duration,Test Type,Skills
Verbal Reasoning Test,https://www.shl.com/shldirect/en/example-questions/verbal-reasoning/,Yes,No,20,Cognitive,Verbal Reasoning
Numerical Reasoning Test,https://www.shl.com/shldirect/en/example-questions/numerical-reasoning/,Yes,No,25,Cognitive,Numerical Reasoning
Inductive Reasoning Test,https://www.shl.com/shldirect/en/example-questions/inductive-reasoning/,Yes,No,30,Cognitive,Inductive Reasoning
Situational Judgment Test,https://www.shl.com/shldirect/en/example-questions/situational-judgement/,Yes,No,35,Behavioral,Decision Making
Personality Questionnaire (OPQ),https://www.shl.com/solutions/products/assessments/personality-assessment/shl-occupational-personality-questionnaire-opq/,Yes,Yes,45,Personality,Personality Traits
Mechanical Comprehension Test,https://www.shl.com/c/global/ibm-kenexa-catalog/view/34471-verify-mechanical-comprehension-next-generation/,Yes,No,25,Cognitive,Mechanical Understanding
Project Management Skills Test,https://www.shl.com/solutions/products/product-catalog/view/project-management-2013/,Yes,No,40,Technical,Project Management
Reading Comprehension Test,https://www.shl.com/solutions/products/product-catalog/view/reading-comprehension-english-v1/,Yes,No,20,Cognitive,Reading Comprehension
Data Entry Speed and Accuracy Test,https://www.shl.com/solutions/products/product-catalog/view/data-entry-ten-key-split-screen/,Yes,No,15,Technical,Data Entry
Java Programming Test,https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,Yes,Yes,40,Technical,Java
C++ Programming Test,https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4122/,Yes,Yes,40,Technical,C++
Network Administration Test,https://www.shl.com/c/global/ibm-kenexa-catalog/view/33442-network-administration,Yes,No,45,Technical,Networking
Accounting Principles Test,https://online.shl.com/us/en-us/products/financialaccounting,Yes,No,35,Technical,Accounting
Marketing Concepts Test,https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,Yes,No,30,Technical,Marketing
Human Resources Fundamentals Test,https://www.shl.com/solutions/products/product-catalog/view/human-resources-new/,Yes,No,30,Technical,Human Resources
Linux Administration Test,https://www.shl.com/solutions/products/product-catalog/view/linux-administration-new/,Yes,No,45,Technical,Linux Administration
Desktop Support Test,https://www.shl.com/solutions/products/product-catalog/view/desktop-support-new/,Yes,No,35,Technical,IT Support
Customer Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-solution/,Yes,No,30,Behavioral,Customer Service Skills
Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-0-solution/,Yes,No,35,Behavioral,Sales Skills
Microservices Test,https://www.shl.com/solutions/products/product-catalog/view/microservices-new/,Yes,No,7,Technical,Microservices Architecture
